Data/Hora,IP,Payload,Classificacao,Confianca,Suspeita
2026-05-05T00:33:19.697-03:00,127.0.0.1,"{""usuario"":{""codigoLogin"":39},""livro"":{""codigoLivro"":8},""dataRetirada"":""2026-05-05"",""dataPrevista"":""2026-05-19""}",ATAQUE,71.1%,1
2026-05-05T00:33:24.649-03:00,127.0.0.1,"{""msg"":""Listagem de usuários""}",ATAQUE,71.1%,1
2026-05-05T00:33:28.756-03:00,127.0.0.1,"{""usuario"":{""codigoLogin"":1},""livro"":{""codigoLivro"":21},""dataRetirada"":""2026-05-05"",""dataPrevista"":""2026-05-19""}",ATAQUE,71.1%,1
2026-05-05T00:33:32.880-03:00,127.0.0.1,"{""msg"":""Consulta de empréstimos ativos""}",ATAQUE,71.1%,1
2026-05-05T00:33:39.746-03:00,127.0.0.1,"{""dataDeEntrega"":""2026-05-05"",""emprestimo_id"":71}",ATAQUE,71.1%,1
2026-05-05T00:33:43.561-03:00,127.0.0.1,"{""dataDeEntrega"":""2026-05-05"",""emprestimo_id"":72}",ATAQUE,71.1%,1
2026-05-05T00:33:56.514-03:00,127.0.0.1,"{""nome"":""Thomaz Augusto"",""email"":""thomas@gmail.com"",""telefone"":""31214512432"",""dataDeNascimento"":""1997-05-05"",""perfil"":""USUARIO""}",ATAQUE,71.1%,1
2026-05-05T00:34:04.856-03:00,127.0.0.1,"{""nome"":""Thiago"",""email"":""thiago@email.com.br"",""telefone"":""555555555555"",""perfil"":""BIBLIOTECARIO""}",ATAQUE,71.1%,1
2026-05-05T00:34:29.623-03:00,127.0.0.1,"{""nome"":""Coração em Chamas"",""autor"":""Helena Moura"",""disponibilidade"":""INDISPONIVEL""}",ATAQUE,71.1%,1
2026-04-30T17:54:18.965-03:00,127.0.0.1,"{""email"":""email@usuario.com"",""password"":""' OR '1'='1""}",ATAQUE,59.3%,1
2026-04-30T17:54:28.316-03:00,127.0.0.1,"{""email"":""email@usuario.com"",""password"":""' OR 1=1 --""}",ATAQUE,58.5%,1
2026-04-30T17:54:37.997-03:00,127.0.0.1,"{""email"":""email@usuario.com"",""password"":""'; DROP TABLE usuarios; --""}",ATAQUE,89.0%,1
2026-04-30T17:58:11.084-03:00,127.0.0.1,"{""nome"":""' UNION SELECT null, nome FROM livros --"",""autor"":""3"",""genero"":{""id"":3}}",ATAQUE,89.0%,1
2026-05-03T23:46:00.173-03:00,127.0.0.1,"{""email"":""nicolasjdc55@gmail.com"",""password"":""SELECT * FROM usuario WHERE email = 'INPUT' AND senha = 'INPUT';""}",NORMAL,74.5%,-
2026-05-03T23:49:48.943-03:00,127.0.0.1,"{""email"":""nicolasjdc55@gmail.com"",""password"":""SELECT * FROM usuario WHERE email = '' OR '1'='1 teste@email.com' OR '1'='1 admin' --' AND senha = 'qualquer ' OR 1=1 --'""}",ATAQUE,50.0%,SENSÍVEL (Heurística)
2026-05-03T23:55:23.561-03:00,127.0.0.1,"{""nome"":""Harry Potter' OR 'a'='a"",""autor"":""teste"",""genero"":{""id"":2}}",ATAQUE,59.3%,1
2026-05-03T23:55:41.600-03:00,127.0.0.1,"{""nome"":""'Comedia' OR 'a'='a""}",ATAQUE,59.3%,1
2026-05-04T00:05:12.418-03:00,127.0.0.1,"{""nome"":""teste@email.com' OR '1'='1"",""email"":""adonias@gmail.com"",""telefone"":""34234234123"",""dataDeNascimento"":""2004-01-21"",""perfil"":""USUARIO""}",ATAQUE,59.3%,1
